,name,url,wins,losses,draws,height,weight,division,reach,stance,dob,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
1360,Eddie Mendez,http://www.fightmetric.com/fighter-details/49e49b54e5901d0d,7,2,1,"5' 10""",185 lbs.,Middleweight,"76""",,"Jan 16, 1984",1.71,33%,3.43,11%,0.00,0%,0%,0.0
1361,Luis Mendoza,http://www.fightmetric.com/fighter-details/28200bc87367614f,0,1,0,--,155 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1362,Ivan Menjivar,http://www.fightmetric.com/fighter-details/5755960ebd0b16f6,25,12,0,"5' 6""",145 lbs.,Featherweight,"64""",Orthodox,"May 30, 1982",2.78,37%,2.76,65%,0.56,28%,38%,1.0
1363,Dave Menne,http://www.fightmetric.com/fighter-details/275cafc9de131c83,44,16,2,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Jul 29, 1974",1.84,44%,1.99,42%,0.46,50%,57%,2.5
1364,Steve Mensing,http://www.fightmetric.com/fighter-details/3bc27ec15facbcf3,7,11,2,"5' 11""",185 lbs.,Middleweight,--,Orthodox,"Dec 06, 1977",0.00,0%,9.51,42%,0.00,0%,0%,0.0
1365,Buck Meredith,http://www.fightmetric.com/fighter-details/36120738148f203f,3,3,0,"6' 2""",185 lbs.,Middleweight,--,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1366,Jeremiah Metcalf,http://www.fightmetric.com/fighter-details/5bdcbd8dd681a257,13,7,0,"6' 1""",185 lbs.,Middleweight,--,Orthodox,--,1.74,59%,0.27,60%,4.02,66%,100%,2.0
1367,Yaotzin Meza,http://www.fightmetric.com/fighter-details/3623bd267a2eef2e,20,8,0,"5' 9""",135 lbs.,Bantamweight,"71""",Orthodox,"Feb 04, 1981",1.54,35%,2.01,63%,1.13,27%,33%,1.5
1368,Guy Mezger,http://www.fightmetric.com/fighter-details/946f341df6472ee0,30,14,2,"6' 1""",200 lbs.,Light Heavyweight,--,Orthodox,"Jan 01, 1968",2.30,32%,1.36,72%,0.39,50%,88%,0.0
1369,Brandon Michaels,http://www.fightmetric.com/fighter-details/f5e4ce11afbdfb61,1,4,0,"5' 9""",185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1370,David Michaud,http://www.fightmetric.com/fighter-details/49f4b511932f71e9,8,1,0,"5' 9""",155 lbs.,Lightweight,"72""",Orthodox,"Nov 10, 1988",3.93,45%,4.53,57%,3.50,58%,71%,1.0
1371,Chris Mickle,http://www.fightmetric.com/fighter-details/f903967fd320da38,28,16,2,"5' 9""",145 lbs.,Featherweight,--,Orthodox,"Jul 10, 1983",3.03,27%,9.70,48%,0.00,0%,0%,0.0
1372,Zachary Micklewright,http://www.fightmetric.com/fighter-details/a36a14985a57a1c6,11,3,0,"6' 0""",155 lbs.,Lightweight,"74""",Southpaw,"Aug 21, 1976",5.56,53%,4.72,54%,0.70,12%,100%,0.0
1373,Kristof Midoux,http://www.fightmetric.com/fighter-details/5b5b9c6f6f270369,6,10,0,"6' 1""",220 lbs.,Heavyweight,--,Orthodox,"Jul 30, 1974",0.70,43%,2.89,49%,0.00,0%,0%,0.0
1374,Keith Mielke,http://www.fightmetric.com/fighter-details/f62850b3c7480db9,0,5,0,"5' 8""",185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1375,Chris Mierzwiak,http://www.fightmetric.com/fighter-details/2b284840ca89876a,3,1,0,"6' 1""",185 lbs.,Middleweight,--,,"Feb 14, 1988",1.60,61%,1.73,48%,2.00,28%,0%,1.0
1376,Billy Miles,http://www.fightmetric.com/fighter-details/3c48019bc387b80c,2,2,0,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Apr 28, 1978",0.00,0%,1.25,33%,0.00,0%,0%,0.0
1377,Pat Miletich,http://www.fightmetric.com/fighter-details/cedfdf8d423d500c,29,7,2,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Mar 09, 1968",1.79,45%,1.66,63%,1.96,100%,54%,1.0
1378,Henry Miller,http://www.fightmetric.com/fighter-details/45a2ba3ef82b9700,6,13,0,"5' 7""",270 lbs.,Super Heavyweight,--,Southpaw,"Jul 16, 1969",1.25,36%,2.16,54%,0.55,25%,60%,0.0
1379,Dan Miller,http://www.fightmetric.com/fighter-details/d0c29452d3272603,14,7,0,"6' 1""",185 lbs.,Middleweight,"74""",Orthodox,"Jun 30, 1981",2.07,35%,3.02,51%,1.86,56%,45%,1.9
1380,Micah Miller,http://www.fightmetric.com/fighter-details/3ff0d0dc7a14bb50,17,4,0,"6' 0""",145 lbs.,Featherweight,--,Orthodox,"Feb 14, 1987",1.33,33%,2.15,54%,0.98,37%,21%,2.0
1381,Jason Miller,http://www.fightmetric.com/fighter-details/b2f88c04c4dd43ce,34,10,0,"6' 1""",185 lbs.,Middleweight,"72""",Orthodox,"Dec 24, 1980",1.83,43%,2.30,49%,1.31,28%,43%,1.3
1382,Phillip Miller,http://www.fightmetric.com/fighter-details/18aecaf50f52e4c3,16,0,0,"5' 11""",185 lbs.,Middleweight,--,Orthodox,"Feb 20, 1979",1.61,54%,1.93,50%,3.62,25%,100%,0.6
1383,Jim Miller,http://www.fightmetric.com/fighter-details/d1941565abf50b16,24,5,0,"5' 8""",155 lbs.,Lightweight,"71""",Southpaw,"Aug 30, 1983",2.58,36%,2.38,63%,1.97,42%,42%,2.5
1384,Cole Miller,http://www.fightmetric.com/fighter-details/282fa667ff9c51ed,21,8,0,"6' 1""",145 lbs.,Featherweight,"76""",Orthodox,"Apr 26, 1984",3.28,34%,3.64,60%,0.50,29%,51%,2.3
1385,Eddy Millis,http://www.fightmetric.com/fighter-details/f2c934689243fe4e,0,2,0,"6' 1""",185 lbs.,Middleweight,--,,--,0.00,0%,3.36,22%,0.00,0%,0%,7.2
1386,Che Mills,http://www.fightmetric.com/fighter-details/6cadfd8f1d9e7685,15,5,0,"6' 1""",170 lbs.,Welterweight,"76""",Orthodox,"Sep 29, 1982",2.08,52%,2.87,43%,1.18,66%,58%,0.0
1387,Alberto Mina,http://www.fightmetric.com/fighter-details/4b1d46a1b5c0fd11,11,0,0,"6' 0""",170 lbs.,Welterweight,"77""",Orthodox,"May 02, 1982",7.94,58%,7.24,32%,0.00,0%,0%,0.0
1388,Mike Minniger,http://www.fightmetric.com/fighter-details/c8aa3541bec4042e,0,0,0,--,--,,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1389,Ikuhisa Minowa,http://www.fightmetric.com/fighter-details/ce6065baef021cf3,51,32,8,"5' 9""",181 lbs.,Middleweight,--,Orthodox,"Jan 12, 1976",0.88,40%,1.66,49%,1.82,41%,5%,1.9
1390,Stipe Miocic,http://www.fightmetric.com/fighter-details/d28dee5c705991df,12,2,0,"6' 4""",240 lbs.,Heavyweight,"80""",Orthodox,"Aug 19, 1982",4.78,46%,3.68,62%,1.70,25%,70%,0.0
1391,Frank Mir,http://www.fightmetric.com/fighter-details/1ff9589f9065a9ed,16,9,0,"6' 3""",264 lbs.,Heavyweight,"76""",Southpaw,"May 24, 1979",2.14,47%,4.01,37%,2.23,45%,54%,2.3
1392,Vitor Miranda,http://www.fightmetric.com/fighter-details/4bcb6eb12b4ad4aa,10,4,0,"6' 1""",185 lbs.,Middleweight,"77""",Orthodox,"Mar 10, 1979",1.40,44%,1.27,72%,0.00,0%,16%,0.0
1393,Mario Miranda,http://www.fightmetric.com/fighter-details/df2bf09c99594848,12,3,0,"6' 3""",185 lbs.,Middleweight,"74""",Orthodox,"Jul 12, 1979",1.96,54%,2.46,36%,1.02,60%,54%,0.0
1394,Juan Miranda,http://www.fightmetric.com/fighter-details/be8ad887e4d674b0,7,4,0,--,155 lbs.,Lightweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1395,Damir Mirenic,http://www.fightmetric.com/fighter-details/992c82450d96f726,8,4,0,"6' 0""",185 lbs.,Middleweight,--,Orthodox,"Aug 02, 1974",0.84,50%,9.86,35%,0.00,0%,0%,0.0
1396,Kazuo Misaki,http://www.fightmetric.com/fighter-details/5e7a28f20927d64a,24,11,2,"5' 8""",183 lbs.,Middleweight,--,Orthodox,"Apr 25, 1976",2.85,40%,2.74,63%,0.72,38%,51%,0.6
1397,Dokonjonosuke Mishima,http://www.fightmetric.com/fighter-details/b14a68c533f4a4aa,20,7,2,"5' 7""",155 lbs.,Lightweight,--,Southpaw,"Apr 19, 1972",1.06,41%,1.22,52%,2.47,40%,25%,1.4
1398,Danny Mitchell,http://www.fightmetric.com/fighter-details/c06d554ce1713fd3,14,6,1,"6' 2""",170 lbs.,Welterweight,"74""",Orthodox,"Aug 08, 1986",2.53,49%,2.53,52%,0.00,0%,100%,3.0
1399,Felix Lee,http://www.fightmetric.com/fighter-details/6cbb7661c3258617,2,7,0,--,--,,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1400,David Mitchell,http://www.fightmetric.com/fighter-details/8f3df4c579cfbb69,12,4,0,"6' 0""",170 lbs.,Welterweight,"76""",Orthodox,"Oct 24, 1979",1.74,32%,2.06,55%,0.66,50%,29%,2.0
1401,Roman Mitichyan,http://www.fightmetric.com/fighter-details/2961be02cfb0d2c1,7,3,0,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Sep 04, 1978",0.26,16%,2.70,43%,1.93,100%,25%,1.9
1402,Matt Mitrione,http://www.fightmetric.com/fighter-details/ba280572acfba13f,9,3,0,"6' 3""",265 lbs.,Heavyweight,"79""",Orthodox,"Jul 15, 1978",3.86,51%,2.64,66%,0.00,0%,57%,0.8
1403,Eiji Mitsuoka,http://www.fightmetric.com/fighter-details/2b4faacc16d66898,18,9,2,"5' 7""",145 lbs.,Featherweight,--,Southpaw,"Jan 01, 1976",1.49,49%,2.26,45%,2.30,36%,20%,1.6
1404,Hiromitsu Miura,http://www.fightmetric.com/fighter-details/509697e08673d2e5,9,6,0,"5' 9""",170 lbs.,Welterweight,"71""",Orthodox,"Sep 22, 1981",2.12,34%,2.12,58%,2.23,50%,69%,0.6
1405,Tomoya Miyashita,http://www.fightmetric.com/fighter-details/c9885b1b7c7055a0,17,9,7,"5' 7""",139 lbs.,Featherweight,--,Southpaw,--,1.67,65%,0.93,33%,4.00,80%,0%,2.0
1406,Kazuyuki Miyata,http://www.fightmetric.com/fighter-details/af70d268e5352186,11,8,0,"5' 8""",139 lbs.,Featherweight,--,Orthodox,--,2.04,52%,1.82,63%,4.31,46%,68%,0.0
1407,Motoki Miyazawa,http://www.fightmetric.com/fighter-details/9649d75defe0dedb,7,3,0,"5' 11""",168 lbs.,Welterweight,--,Southpaw,--,1.23,28%,3.91,61%,0.00,0%,0%,0.0
1408,Takeya Mizugaki,http://www.fightmetric.com/fighter-details/48e093ea1f43a053,20,8,2,"5' 7""",135 lbs.,Bantamweight,"68""",Orthodox,"Dec 16, 1983",3.39,36%,3.27,58%,1.68,60%,67%,0.1
1409,Tatsuya Mizuno,http://www.fightmetric.com/fighter-details/478c8706bdb92440,10,7,0,"6' 1""",205 lbs.,Light Heavyweight,--,Southpaw,"Jun 02, 1981",2.25,37%,3.52,53%,1.19,25%,40%,3.6
1410,Roxanne Modafferi,http://www.fightmetric.com/fighter-details/4498b382c65a7faa,15,11,0,"5' 6""",135 lbs.,Bantamweight,--,,"Sep 24, 1982",2.85,27%,5.42,38%,0.97,7%,0%,0.0
1411,Nate Mohr,http://www.fightmetric.com/fighter-details/04c15b52c3cc1cab,9,7,0,"5' 9""",155 lbs.,Lightweight,"72""",Orthodox,"Mar 03, 1983",3.79,41%,2.50,74%,0.45,50%,71%,0.0
1412,Rudyard Moncayo,http://www.fightmetric.com/fighter-details/02d276b7d62b3472,0,3,0,"5' 10""",195 lbs.,Light Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1413,Hidetaka Monma,http://www.fightmetric.com/fighter-details/a8e133139286df84,17,10,4,"6' 0""",168 lbs.,Welterweight,--,Orthodox,"Oct 23, 1973",1.67,25%,9.76,34%,0.00,0%,0%,0.0
1414,Jeff Monson,http://www.fightmetric.com/fighter-details/cbfd1d34356a004c,43,12,1,"5' 9""",247 lbs.,Heavyweight,"74""",Orthodox,"Jan 18, 1971",0.97,30%,2.87,59%,1.06,12%,66%,0.7
1415,Darrell Montague,http://www.fightmetric.com/fighter-details/bffeb123b21c9aad,13,4,0,"5' 6""",125 lbs.,Flyweight,"67""",Southpaw,"Nov 03, 1987",1.87,25%,4.84,54%,0.78,33%,33%,1.6
1416,Andrew Montanez,http://www.fightmetric.com/fighter-details/72c9c2eadfc3277e,9,12,1,--,185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1417,Augusto Montano,http://www.fightmetric.com/fighter-details/94508d80e1f885fc,14,1,0,"6' 1""",170 lbs.,Welterweight,"73""",Orthodox,"Oct 25, 1984",6.21,57%,1.66,60%,0.00,0%,66%,0.0
1418,James Moontasri,http://www.fightmetric.com/fighter-details/c06a9b48d4132c8e,7,2,0,"5' 10""",155 lbs.,Lightweight,"71""",Switch,"Apr 10, 1988",2.33,52%,1.47,40%,0.00,0%,70%,0.0
1419,Homer Moore,http://www.fightmetric.com/fighter-details/e56df3c1d8b4b1cc,25,9,2,"5' 10""",205 lbs.,Light Heavyweight,--,Orthodox,"Nov 27, 1971",0.68,50%,0.68,0%,5.07,66%,0%,0.0
1420,Todd Moore,http://www.fightmetric.com/fighter-details/e31502e3f79d00c5,14,5,0,"5' 9""",170 lbs.,Welterweight,"71""",Southpaw,"Dec 30, 1983",1.83,26%,2.30,57%,0.78,14%,54%,0.0
1421,Nate Moore,http://www.fightmetric.com/fighter-details/518e5202a91980d4,7,3,0,"6' 0""",170 lbs.,Welterweight,--,,--,2.21,25%,2.87,42%,1.23,16%,25%,0.0
1422,Sergio Moraes,http://www.fightmetric.com/fighter-details/1bcaac2d99b90fce,8,3,0,"6' 0""",170 lbs.,Welterweight,"72""",Orthodox,"Jul 23, 1982",2.13,48%,2.39,65%,2.39,35%,0%,1.0
1423,John Moraga,http://www.fightmetric.com/fighter-details/92437c6775b3f7d1,16,3,0,"5' 6""",125 lbs.,Flyweight,"66""",Orthodox,"Mar 20, 1984",2.43,43%,2.62,56%,0.72,26%,42%,1.1
1424,Ricardo Morais,http://www.fightmetric.com/fighter-details/2dc7f1762dc0a7ef,10,4,1,"6' 8""",270 lbs.,Super Heavyweight,--,Orthodox,"Feb 26, 1967",2.86,37%,2.39,53%,0.00,0%,0%,0.0
1425,Leonardo Morales,http://www.fightmetric.com/fighter-details/45230be0641f3f53,5,1,0,"5' 8""",145 lbs.,Featherweight,"68""",Southpaw,"Dec 22, 1992",2.20,45%,2.27,59%,0.00,0%,66%,0.0
1426,Sarah Moras,http://www.fightmetric.com/fighter-details/539ed332b3078821,4,2,0,"5' 7""",135 lbs.,Bantamweight,"67""",,"Apr 30, 1988",1.00,44%,0.80,57%,1.00,50%,0%,0.0
1427,Christian Morecraft,http://www.fightmetric.com/fighter-details/80779d7441af1b52,7,3,0,"6' 6""",260 lbs.,Heavyweight,"81""",Orthodox,"Sep 08, 1986",2.82,34%,2.46,46%,3.26,66%,50%,2.2
1428,Joe Moreira,http://www.fightmetric.com/fighter-details/df85d6ec3493d120,2,2,0,"5' 11""",195 lbs.,Light Heavyweight,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1429,Jesse Moreng,http://www.fightmetric.com/fighter-details/2e2cdb6e9eb84bb9,9,1,0,"5' 7""",145 lbs.,Featherweight,--,Orthodox,"Nov 09, 1979",1.26,40%,2.08,48%,5.56,100%,100%,0.0
1430,Sammy Morgan,http://www.fightmetric.com/fighter-details/2067a177a2842fbf,18,12,0,"5' 10""",170 lbs.,Welterweight,--,Orthodox,"Sep 28, 1981",1.05,22%,3.74,40%,1.43,20%,0%,0.5
1431,Peggy Morgan,http://www.fightmetric.com/fighter-details/92b36014314b028b,2,1,0,"6' 1""",135 lbs.,Bantamweight,"70""",,"Dec 16, 1979",2.27,23%,8.20,33%,0.00,0%,50%,0.0
1432,Richardson Morreira,http://www.fightmetric.com/fighter-details/9147679e1a4ad4a3,7,3,0,"6' 2""",185 lbs.,Middleweight,"72""",Orthodox,"Mar 31, 1984",9.00,75%,21.00,30%,0.00,0%,0%,0.0
1433,Brad Morris,http://www.fightmetric.com/fighter-details/6803d4d6908354ac,10,6,0,"6' 2""",205 lbs.,Light Heavyweight,--,Orthodox,"Nov 01, 1979",0.50,62%,6.95,27%,0.00,0%,0%,0.0
1434,Scott Morris,http://www.fightmetric.com/fighter-details/be9d259be012e8a4,2,1,0,"5' 10""",210 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1435,Anthony Morrison,http://www.fightmetric.com/fighter-details/dab0e6cb8c932162,16,10,0,"5' 7""",145 lbs.,Featherweight,--,Orthodox,"Mar 29, 1984",1.70,33%,0.49,80%,0.00,0%,50%,0.0
1436,Jack Morrison,http://www.fightmetric.com/fighter-details/38fccd44d669bb2f,0,3,0,"5' 11""",205 lbs.,Light Heavyweight,--,,--,0.00,0%,19.31,40%,0.00,0%,0%,0.0
1437,Harry Moskowitz,http://www.fightmetric.com/fighter-details/4dc496aa0cfc0d95,6,12,0,"6' 5""",275 lbs.,Super Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1438,Juan Mott,http://www.fightmetric.com/fighter-details/5da4e8dc02e50ac0,3,4,0,"6' 0""",190 lbs.,Light Heavyweight,--,Switch,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1439,Flavio Luiz,http://www.fightmetric.com/fighter-details/ab35634d1a8c7a11,17,7,0,"5' 11""",183 lbs.,Middleweight,--,Open Stance,--,0.67,16%,0.00,0%,0.00,0%,0%,0.0
1440,Gegard Mousasi,http://www.fightmetric.com/fighter-details/232c582f29f8f65e,35,5,2,"6' 2""",185 lbs.,Middleweight,"76""",Orthodox,"Aug 01, 1985",3.41,50%,1.15,70%,1.41,58%,56%,1.4
1441,Quinn Mulhern,http://www.fightmetric.com/fighter-details/16af2d5a6f28bee2,18,4,0,"6' 3""",155 lbs.,Lightweight,"76""",Orthodox,"Sep 20, 1984",1.48,28%,2.09,51%,1.36,20%,33%,0.0
1442,Jim Mullen,http://www.fightmetric.com/fighter-details/1a49e0670dfaca31,0,2,0,"6' 1""",215 lbs.,Heavyweight,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1443,Pedro Munhoz,http://www.fightmetric.com/fighter-details/6bd02119599741a4,12,1,0,"5' 6""",135 lbs.,Bantamweight,"64""",Orthodox,"Sep 07, 1986",3.20,40%,5.86,54%,1.63,66%,25%,2.4
1444,Mark Munoz,http://www.fightmetric.com/fighter-details/179f1948dc234f1f,13,5,0,"6' 0""",185 lbs.,Middleweight,"72""",Orthodox,"Feb 09, 1978",3.26,51%,2.22,57%,2.49,24%,58%,0.6
1445,Kazunari Murakami,http://www.fightmetric.com/fighter-details/cfbccfed4e4796fe,5,5,0,"6' 1""",220 lbs.,Heavyweight,--,Orthodox,"Nov 29, 1973",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1446,Ryuichi Murata,http://www.fightmetric.com/fighter-details/e3a6c6d6d0ac0815,8,3,1,"5' 8""",183 lbs.,Middleweight,--,Orthodox,--,0.84,36%,1.89,50%,4.74,50%,100%,3.2
1447,Jon Murphy,http://www.fightmetric.com/fighter-details/1b5c146ee7b86e34,6,4,0,"6' 3""",260 lbs.,Heavyweight,--,Orthodox,"Aug 09, 1977",3.93,66%,8.85,43%,0.00,0%,0%,0.0
1448,Ian Murphy,http://www.fightmetric.com/fighter-details/de25520d54eab12d,1,1,0,"6' 1""",185 lbs.,Middleweight,--,Orthodox,"Jun 14, 1985",0.00,0%,1.93,30%,4.13,100%,0%,0.0
1449,Lauren Murphy,http://www.fightmetric.com/fighter-details/729d4bd5a6cd0a97,8,1,0,"5' 5""",135 lbs.,Bantamweight,"67""",Orthodox,"Jul 27, 1983",3.20,57%,2.53,52%,0.00,0%,44%,0.0
1450,Tom Murphy,http://www.fightmetric.com/fighter-details/62918a2118de08b2,8,0,0,"6' 2""",227 lbs.,Heavyweight,--,Southpaw,"Nov 19, 1974",2.50,71%,0.17,84%,7.51,85%,0%,2.5
1451,Lee Murray,http://www.fightmetric.com/fighter-details/32016899d0a222a3,8,2,1,"6' 3""",185 lbs.,Middleweight,--,Orthodox,"Sep 12, 1977",0.36,15%,3.28,32%,0.90,100%,42%,1.8
1452,Nico Musoke,http://www.fightmetric.com/fighter-details/8b5f9ea38184ded3,13,3,0,"6' 0""",170 lbs.,Welterweight,"75""",Orthodox,"Apr 05, 1986",3.39,39%,3.22,58%,1.56,31%,83%,0.3
1453,Andre Mussi,http://www.fightmetric.com/fighter-details/d0d43cb9b14f231c,10,5,0,"6' 3""",242 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,10.59,35%,0.00,0%,0%,0.0
1454,Fiona Muxlow,http://www.fightmetric.com/fighter-details/062e57ca1a3c95a8,6,2,0,"5' 4""",145 lbs.,Featherweight,--,,"May 13, 1977",1.44,27%,5.45,34%,0.00,0%,0%,0.0
1455,Ho Bae,http://www.fightmetric.com/fighter-details/2719f300b0439039,12,5,0,"5' 11""",168 lbs.,Welterweight,--,Orthodox,--,3.16,16%,3.16,83%,0.00,0%,0%,0.0
1456,Yuji Nagata,http://www.fightmetric.com/fighter-details/e49c2db95e572dc8,0,2,0,"6' 0""",225 lbs.,Heavyweight,--,Orthodox,"Apr 24, 1968",1.45,40%,14.46,4%,0.00,0%,0%,0.0
1457,Katsuhiko Nagata,http://www.fightmetric.com/fighter-details/d5ae8074631762fc,6,7,2,"5' 7""",154 lbs.,Lightweight,--,Southpaw,"Oct 31, 1973",1.05,19%,1.50,63%,0.98,28%,28%,0.0
1458,Greg Nagy,http://www.fightmetric.com/fighter-details/342422bb6ced1e8d,1,3,0,"6' 1""",210 lbs.,Heavyweight,--,Orthodox,"Oct 18, 1983",0.41,50%,2.69,37%,0.00,0%,0%,1.2
1459,Yukiya Naito,http://www.fightmetric.com/fighter-details/7be328bb3c2ea22e,15,6,2,"6' 1""",205 lbs.,Light Heavyweight,--,Orthodox,--,1.54,33%,5.13,60%,0.00,0%,0%,0.0
1460,Andrews Nakahara,http://www.fightmetric.com/fighter-details/7a9ca95a92d7b64c,3,2,0,"6' 1""",185 lbs.,Middleweight,--,Orthodox,"Mar 12, 1983",2.68,44%,1.90,57%,0.00,0%,72%,0.4
1461,Rin Nakai,http://www.fightmetric.com/fighter-details/f9ae6914f604aa9f,16,1,1,"5' 1""",135 lbs.,Bantamweight,"60""",Orthodox,"Oct 22, 1986",1.07,34%,3.67,52%,3.00,15%,75%,0.0
1462,Yusaku Nakamura,http://www.fightmetric.com/fighter-details/03e8df49c4a059ba,3,2,0,"5' 5""",145 lbs.,Featherweight,--,,"Jun 21, 1986",1.72,45%,3.67,55%,0.00,0%,83%,0.0
1463,Keita Nakamura,http://www.fightmetric.com/fighter-details/65ddc8a9ac4e8531,21,5,2,"5' 11""",154 lbs.,Lightweight,--,Southpaw,"May 22, 1984",2.53,35%,3.48,61%,1.75,63%,72%,0.2
1464,Kazuhiro Nakamura,http://www.fightmetric.com/fighter-details/b034747dc1d15491,15,11,0,"5' 11""",205 lbs.,Light Heavyweight,"70""",Orthodox,"Jul 16, 1979",1.56,37%,1.83,59%,1.73,36%,42%,0.6
1465,Daisuke Nakamura,http://www.fightmetric.com/fighter-details/a196332ee4aa8a82,24,13,0,"5' 7""",154 lbs.,Lightweight,--,Orthodox,"Jun 10, 1980",0.94,30%,1.38,61%,0.46,40%,30%,3.7
1466,Jutaro Nakao,http://www.fightmetric.com/fighter-details/95eb112a85601a0a,23,17,4,"5' 9""",170 lbs.,Welterweight,--,Southpaw,"Nov 30, 1970",0.53,38%,1.06,44%,0.38,50%,56%,0.0
1467,Yoshihiro Nakao,http://www.fightmetric.com/fighter-details/e18012194473e8b0,9,3,0,"6' 0""",220 lbs.,Heavyweight,--,Southpaw,"Jun 25, 1972",1.73,35%,2.06,64%,2.69,46%,0%,0.4
1468,Yui Chul,http://www.fightmetric.com/fighter-details/a00ec21cfbba17b6,18,4,1,"5' 9""",155 lbs.,Lightweight,"69""",Orthodox,"Jul 16, 1981",5.13,59%,2.07,43%,1.00,100%,57%,0.0
1469,Rose Namajunas,http://www.fightmetric.com/fighter-details/47b63240018d5d86,3,2,0,"5' 5""",115 lbs.,Flyweight,"65""",,"Jun 29, 1992",2.45,38%,3.67,53%,1.31,33%,28%,0.0
1470,Yasuhito Namekawa,http://www.fightmetric.com/fighter-details/6083f497c22cc075,25,16,4,"5' 9""",205 lbs.,Light Heavyweight,--,Orthodox,"Oct 27, 1974",0.14,50%,3.65,38%,2.11,25%,0%,4.2
1471,Roger Narvaez,http://www.fightmetric.com/fighter-details/3a12a2f096a6d975,7,1,0,"6' 3""",185 lbs.,Middleweight,"79""",Southpaw,"Sep 09, 1983",2.27,38%,2.94,64%,0.00,0%,50%,1.3
1472,Fabio Nascimento,http://www.fightmetric.com/fighter-details/307064d3e0f036c2,11,5,0,"5' 10""",185 lbs.,Middleweight,--,Orthodox,--,2.94,38%,4.63,55%,0.00,0%,55%,0.8
1473,Reza Nasri,http://www.fightmetric.com/fighter-details/d41937647eae9a34,2,1,0,"5' 11""",205 lbs.,Light Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1474,Pawel Nastula,http://www.fightmetric.com/fighter-details/154a6b3ffae264cd,4,4,0,"6' 0""",230 lbs.,Heavyweight,--,Southpaw,"Jun 26, 1970",1.30,43%,1.73,50%,3.00,60%,0%,1.5
1475,Rafael Natal,http://www.fightmetric.com/fighter-details/0dba4df5f34d5ff0,18,6,1,"6' 0""",185 lbs.,Middleweight,"76""",Orthodox,"Dec 25, 1982",2.79,48%,2.11,57%,2.35,33%,78%,0.7
1476,Dustin Neace,http://www.fightmetric.com/fighter-details/e503aa5c252a1b4d,23,18,1,"5' 9""",145 lbs.,Featherweight,--,,"Sep 12, 1986",2.08,32%,2.66,56%,0.00,0%,0%,1.7
1477,Josh Neal,http://www.fightmetric.com/fighter-details/0b534765dca35e71,5,11,0,"6' 0""",185 lbs.,Middleweight,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1478,Stanislav Nedkov,http://www.fightmetric.com/fighter-details/1d4bbaabd8b60173,12,1,0,"5' 11""",205 lbs.,Light Heavyweight,"71""",Orthodox,"Dec 09, 1981",3.35,43%,5.18,45%,2.92,45%,0%,0.0
1479,Josh Neer,http://www.fightmetric.com/fighter-details/d1a1314976c50bef,33,13,1,"5' 11""",170 lbs.,Welterweight,"72""",Orthodox,"Mar 24, 1983",3.15,44%,3.63,57%,1.00,41%,42%,1.3
1480,Steve Nelmark,http://www.fightmetric.com/fighter-details/13e62d766b709aa6,2,1,0,"6' 0""",240 lbs.,Heavyweight,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
1481,Roy Nelson,http://www.fightmetric.com/fighter-details/3f7c14c7eca7195d,21,10,0,"6' 0""",263 lbs.,Heavyweight,"72""",Orthodox,"Jun 20, 1976",2.25,33%,4.95,50%,0.58,17%,57%,0.2
1482,Gunnar Nelson,http://www.fightmetric.com/fighter-details/fd55393021a8c255,13,1,1,"5' 11""",170 lbs.,Welterweight,"72""",Switch,"Jul 28, 1988",2.29,55%,4.07,55%,1.55,54%,50%,1.0
